Event,Site,Date,Round,White,Black,Result,BlackClock,BlackElo,BlackIsComp,BlackRD,ECO,FICSGamesDBGameNo,PlyCount,Time,TimeControl,WhiteClock,WhiteElo,WhiteRD,AvgEvalOpening,AvgEvalMiddle,AvgEvalEnd,AvgEmtOpening,AvgEmtMiddle,AvgEmtEnd,ResultComment,WhiteIsComp
FICS rated standard game,FICS freechess.org,2022.06.17,?,Notarious,serrag,1-0,0:15:00.000,1359,,34.5,C60,511885857,45,03:47:00,900+0,0:15:00.000,2801,34.2,88.8125,302.93333333333334,620.1666666666666,1.9196666666666669,3.8566,5.19957142857143,[%emt 0.699] Black checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.06.17,?,Bjboy,Notarious,0-1,0:15:00.000,2801,Yes,34.2,C44,511885660,120,02:39:00,900+0,0:15:00.000,1835,37.6,-14.707317073170731,-56.15,-499.1142857142857,1.9255749999999998,3.1004,2.0438461538461534,[%emt 0.1] White checkmated,
FICS rated standard game,FICS freechess.org,2022.06.17,?,Notarious,Forchesslearning,1-0,0:15:00.000,1639,,289.6,C62,511885537,34,02:02:00,900+0,0:15:00.000,2801,34.1,69.75,195.45454545454547,596.1,1.6621818181818184,0.6913636363636363,2.8579090909090916,[%emt 17.007] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.06.17,?,Carsidi,lutidol,0-1,0:33:00.000,2144,,69.6,B21,511885498,62,01:08:00,1980+33,0:33:00.000,1866,25.9,-30.571428571428573,-125.6,-557.825,3.7442,4.6861,2.769375,[%emt 44.347] White resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,Notarious,ArasanX,1-0,0:15:00.000,2766,Yes,33.7,B90,511884924,93,21:58:00,900+5,0:15:00.000,2794,34.0,31.9375,24.64516129032258,110.53333333333333,4.080580645161292,3.973483870967742,2.5156666666666663,[%emt 10.141] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.06.16,?,sdiego,blore,1-0,0:15:00.000,1953,,20.5,C25,511884806,57,21:50:00,900+0,0:15:00.000,2108,152.3,-21.85,144.52631578947367,494.7142857142857,1.2593684210526315,2.5436315789473682,1.3843333333333332,[%emt 8.962] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,ArasanX,Notarious,1/2-1/2,0:15:00.000,2795,Yes,34.2,D43,511884679,34,21:17:00,900+5,0:15:00.000,2765,33.8,24.083333333333332,13.181818181818182,-33.81818181818182,0.11954545454545457,0.41445454545454546,2.9812727272727275,[%emt 23.12] Game drawn by repetition,Yes
FICS rated standard game,FICS freechess.org,2022.06.16,?,Notarious,ArasanX,1-0,0:15:00.000,2773,Yes,34.0,B90,511884656,99,20:43:00,900+5,0:15:00.000,2787,34.3,31.705882352941178,62.21212121212121,131.09375,3.9510000000000005,3.8483939393939393,2.91121875,[%emt 12.11] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.06.16,?,pikozrout,Notarious,0-1,0:15:00.000,2786,Yes,34.5,D45,511884449,104,19:59:00,900+0,0:15:00.000,2195,50.4,34.142857142857146,-173.76470588235293,-198.28571428571428,1.5816764705882354,1.6879117647058823,1.0760882352941175,[%emt 0.34] White checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.06.16,?,Notarious,pikozrout,1-0,0:15:00.000,2196,Yes,50.5,B48,511884347,57,19:37:00,900+0,0:15:00.000,2785,34.5,47.8,224.42105263157896,781.5833333333334,0.8119473684210528,5.132263157894737,2.834055555555556,[%emt 0.1] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.06.16,?,chessloon,masterdylan,0-1,0:15:00.000,2374,,63.7,B18,511883888,52,18:00:00,900+0,0:15:00.000,2374,61.5,32.94444444444444,27.0,-121.46666666666667,0.475235294117647,0.44388235294117645,1.7117058823529412,[%emt 3.083] White checkmated,
FICS rated standard game,FICS freechess.org,2022.06.16,?,masterdylan,chessloon,1-0,0:15:00.000,2386,,62.5,B20,511883863,23,17:58:00,900+0,0:15:00.000,2361,64.8,22.375,66.71428571428571,468.2857142857143,0.5039999999999999,0.3814285714285714,3.6612142857142858,[%emt 4.408] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,chessloon,masterdylan,1-0,0:15:00.000,2373,,65.9,B00,511883851,59,17:43:00,900+0,0:15:00.000,2375,63.5,-55.6,-198.94736842105263,131.38888888888889,0.797578947368421,3.645105263157895,2.126263157894736,[%emt 13.122] Black checkmated,
